tp_pt,pt_br
yby,terra
tatá,fogo
y,água
ybytu,ar
ybaté,norte
guyra,sul
kuarasysembaba,leste
kuarasyreikeaba,oeste
ybakybypá,universo
iasytatatyba,galáxia
ybyarana,planeta
ybyara,planeta_terra
tetamusu,país
ybyrapytangaretama,brasil
pindorama,brasil
pindoretama,brasil
tabusu,cidade
apuanã,comunidade
mbairumõ,soma
mbaemokanhema,subtração
mbaemoiaoka,divisão
mbaemoioara,multiplicação
oioiabé,igualdade
amangyr,chuvoso
kuarasy,ensolarado
royiukyr,neve
ybating,nublado
tining,seco
pytuur,ventoso
tekoaparaba,biomas
kua,baía
apekũ,brejo
kaatinga,caatinga
matabranca,caatinga
ytu,cachoeira
kaaatãndyba,cerrado
nhũ,campo
caminhodecanoas,igarapé
ypaũ,ilha
upaba,lago
ygapó,raíz_dágua
guaparayba,mangue
guaparaytyba,manguezal
paranã,mar
ygapyra,nascentes_dágua
paranaguasu,oceano
paranãembeyba,praia_do_mar
yembeyba,praia_do_rio
pará,rio_grande
y,rio
ty,rio
jy,rio
ybytybyra,serra
ybytyguaia,vale
ybaka,céu
iasytatá,estrela
iasytatabebé,estrela_cadente
iasytataguasu,estrela_dalva
pirapanema,estrela_dalva
guanhamy,constelação
panaku,constelação
kurusá,cruzeiro_do_sul
iasy,lua
iasyobaguasu,lua_cheia
iasysẽmamo,lua_nova
iasykyraĩ,lua_crescente
iasyangaibara,lua_minguante
ybatinga,núvem
kuarasy,sol
tuibae,ancião
tapiira,anta
syguasu,cervo
kurusu,cruzeiro_do_sul
nhandu,ema
iasytatá,estrela
tapirapé,via_láctea
seixu,plêiades
iabebyra,arraia
pirakamuku,bagre
pirapuama,baleia
kuruatapinima,bonito
iurará,cágado
potĩ,camarão
kamuri,camuri
kamurupy,camurupi
akará,cará
usá,caranguejo
akarapeba,carapeba
guakari,akari
guarapuku,cavala
guatukupá,corvina
piraiuba,dourado
pukusi,golfinho
iundia,jundiá
araberi,lambari
karamuru,lampreia
guairaká,lontra
paranambora,marisco
kunapu,mero
amoré,moreia
karamuru,moreia
airiré,marreca_piadeira
musũ,mussum
reri,ostra
pirá,peixe
guaraguá,peixe_boi
manatí,peixe_boi
piaba,piaba
piranha,piranha
kurimã,tainha
iurukuá,tartaruga
taraira,traira
iperu,tubarão
kururu,sapo
siri,seri
iui,rã
mosyky,caravela
iasy,estrela_do_mar
pindaiba,ouriço_do_mar
pindá,ouriço_do_mar
kambyguara,mamiferos
tapiira,anta
tapi´irusu,anta
ay,bicho_preguiça
aiká,bôto
pukusĩ,bôto
kabará,cabra
syguasumẽ,cabra
iaguara,cachorro
iaguamimbaba,cachorro
kapiiguara,capivara
tapiti,coelho
acuti,cotia
sarigué,gambá
marakaiá,gato_do_mato
marakaiá,gato
marakaiaĩ,gato
guaxinĩ,guaxinim
iaguasininga,guaxinim
jaguara,jaguar
aguaraguasu,lobo
guariba,macaco_guariba
sagui,macaco_sagui
mokó,mocó
andyrá,morcego
iaguara,onça
iaguareté,onça
taiasu,porco
taiasuguaia,porco_doméstico
apereá,preá
iaguapytanga,raposa
